"Year (time)","Geographic Area Name (NAME)","Meaning of Survey Component (SVY_COMP_LABEL)","Aggregate Description (AGG_DESC)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Type of Government (GOVTYPE)","Meaning of Type of Government (GOVTYPE_LABEL)","Amount (AMOUNT)","Coefficent of Variation for Amount (percent) (AMOUNT_CV)"
"2023","New Jersey","Annual Survey of State and Local Finance","LF0200","Expenditure - Direct Expenditure - Utility Expenditure - Capital Outlay","001","State and Local","1,536,075","1.60"
"2023","New Jersey","Annual Survey of State and Local Finance","LF0201","Expenditure - Direct Expenditure - Utility Expenditure - Interest on Debt","001","State and Local","56,863","12.90"
"2023","New Jersey","Annual Survey of State and Local Finance","LF0202","Expenditure - Direct Expenditure - Utility Expenditure - Water Supply - Total Expenditure","001","State and Local","1,076,263","8.30"
"2023","New Jersey","Annual Survey of State and Local Finance","LF0203","Expenditure - Direct Expenditure - Utility Expenditure - Water Supply - Current Operations","001","State and Local","916,163","9.40"
"2023","New Jersey","Annual Survey of State and Local Finance","LF0204","Expenditure - Direct Expenditure - Utility Expenditure - Water Supply - Capital Outlay","001","State and Local","110,404","22.90"
"2023","New Jersey","Annual Survey of State and Local Finance","LF0205","Expenditure - Direct Expenditure - Utility Expenditure - Water Supply - Interest on Debt","001","State and Local","49,696","14.70"
"2023","New Jersey","Annual Survey of State and Local Finance","LF0206","Expenditure - Direct Expenditure - Utility Expenditure - Electric Power - Total Expenditure","001","State and Local","166,571","5.10"
"2023","New Jersey","Annual Survey of State and Local Finance","LF0207","Expenditure - Direct Expenditure - Utility Expenditure - Electric Power - Current Operations","001","State and Local","124,343","6.80"
"2023","New Jersey","Annual Survey of State and Local Finance","LF0208","Expenditure - Direct Expenditure - Utility Expenditure - Electric Power - Capital Outlay","001","State and Local","35,061","0.00"
"2023","New Jersey","Annual Survey of State and Local Finance","LF0209","Expenditure - Direct Expenditure - Utility Expenditure - Electric Power - Interest on Debt","001","State and Local","7,167","0.00"
"2023","New Jersey","Annual Survey of State and Local Finance","LF0214","Expenditure - Direct Expenditure - Utility Expenditure - Transit - Total Expenditure","001","State and Local","4,358,386","0.00"
"2023","New Jersey","Annual Survey of State and Local Finance","LF0215","Expenditure - Direct Expenditure - Utility Expenditure - Transit - Current Operations","001","State and Local","2,967,776","0.00"
"2023","New Jersey","Annual Survey of State and Local Finance","LF0216","Expenditure - Direct Expenditure - Utility Expenditure - Transit - Capital Outlay","001","State and Local","1,390,610","0.00"
"2023","New Jersey","Annual Survey of State and Local Finance","LF0221","Insurance Trust Expenditure - Total Expenditure","001","State and Local","15,995,848","0.00"
"2023","New Jersey","Annual Survey of State and Local Finance","LF0222","Insurance Trust Expenditure - Unemployment Compensation - Total Expenditure","001","State and Local","2,168,563","0.00"
"2023","New Jersey","Annual Survey of State and Local Finance","LF0223","Insurance Trust Expenditure - Unemployment Compensation - Benefit Payments","001","State and Local","2,168,563","0.00"
"2023","New Jersey","Annual Survey of State and Local Finance","LF0224","Insurance Trust Expenditure - Unemployment Compensation - Withdrawals","001","State and Local","0","0.00"
"2023","New Jersey","Annual Survey of State and Local Finance","LF0225","Insurance Trust Expenditure - Employee Retirement - Total Expenditure","001","State and Local","13,096,538","0.00"
"2023","New Jersey","Annual Survey of State and Local Finance","LF0226","Insurance Trust Expenditure - Employee Retirement - Benefit Payments","001","State and Local","12,841,323","0.00"
"2023","New Jersey","Annual Survey of State and Local Finance","LF0227","Insurance Trust Expenditure - Employee Retirement - Withdrawals","001","State and Local","255,215","0.00"
"2023","New Jersey","Annual Survey of State and Local Finance","LF0228","Insurance Trust Expenditure - Workers Compensation","001","State and Local","208,994","0.00"
"2023","New Jersey","Annual Survey of State and Local Finance","LF0229","Insurance Trust Expenditure - Other Insurance Trust","001","State and Local","521,753","0.00"
"2023","New Jersey","Annual Survey of State and Local Finance","LF0230","Debt - Total Debt Outstanding","001","State and Local","87,541,624","1.00"
"2023","New Jersey","Annual Survey of State and Local Finance","LF0231","Debt - Short-term Debt Outstanding","001","State and Local","970,258","12.30"
"2023","New Jersey","Annual Survey of State and Local Finance","LF0232","Debt - Long-term Debt Outstanding","001","State and Local","86,571,366","1.00"
"2023","New Jersey","Annual Survey of State and Local Finance","LF0234","Debt - Long-term Debt Issued","001","State and Local","8,176,614","4.30"
"2023","New Jersey","Annual Survey of State and Local Finance","LF0235","Debt - Long-term Debt Retired","001","State and Local","8,536,956","5.10"
"2023","New Jersey","Annual Survey of State and Local Finance","LF0236","Cash and Security Holdings - Total","001","State and Local","96,409,365","0.00"
"2023","New Jersey","Annual Survey of State and Local Finance","LF0237","Cash and Security Holdings - Insurance Trust Funds","001","State and Local","96,409,365","0.00"
"2023","New Jersey","Annual Survey of State and Local Finance","LF0238","Cash and Security Holdings - Insurance Trust Funds - Unemployment Compensation","001","State and Local","2,060,172","0.00"
"2023","New Jersey","Annual Survey of State and Local Finance","LF0239","Cash and Security Holdings - Insurance Trust Funds - Unemployment Compensation - Held in US Treasury Accounts","001","State and Local","1,030,086","0.00"
"2023","New Jersey","Annual Survey of State and Local Finance","LF0240","Cash and Security Holdings - Insurance Trust Funds - Unemployment Compensation - Other Clearing & Benefit Accounts","001","State and Local","1,030,086","0.00"
"2023","New Jersey","Annual Survey of State and Local Finance","LF0241","Cash and Security Holdings - Insurance Trust Funds - Employee Retirement","001","State and Local","92,687,760","0.00"
"2023","New Jersey","Annual Survey of State and Local Finance","LF0242","Cash and Security Holdings - Insurance Trust Funds - Workers Compensation","001","State and Local","272,656","0.00"
"2023","New Jersey","Annual Survey of State and Local Finance","LF0243","Cash and Security Holdings - Insurance Trust Funds - Other State Social Insurance Trust Systems","001","State and Local","1,388,777","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0001","Revenue - Total Revenue","001","State and Local","48,101,610","0.20"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0002","Revenue - Total General Revenue","001","State and Local","47,246,919","0.10"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0003","Revenue - General Revenue - Total Intergovernmental","001","State and Local","13,916,518","0.20"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0004","Revenue - General Revenue - Intergovernmental - From Federal Government","001","State and Local","13,916,518","0.20"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0007","Revenue - General Revenue - Total From Own Sources","001","State and Local","33,330,401","0.20"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0008","Revenue - General Revenue - From Own Sources - Total Taxes","001","State and Local","18,958,711","0.20"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0009","Revenue - General Revenue - From Own Sources - Taxes - Property","001","State and Local","2,610,574","0.30"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0010","Revenue - General Revenue - From Own Sources - Taxes - Total Sales & Gross Receipts","001","State and Local","7,384,564","0.60"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0011","Revenue - General Revenue - From Own Sources - Taxes - General Sales","001","State and Local","6,159,251","0.70"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0012","Revenue - General Revenue - From Own Sources - Taxes - Sales & Gross Receipts - Total Selective Sales","001","State and Local","1,225,313","0.30"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0013","Revenue - General Revenue - From Own Sources - Taxes - Sales & Gross Receipts - Selective Sales - Amusement","001","State and Local","66,700","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0014","Revenue - General Revenue - From Own Sources - Taxes - Sales & Gross Receipts - Selective Sales - Insurance Premiums","001","State and Local","388,600","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0015","Revenue - General Revenue - From Own Sources - Taxes - Sales & Gross Receipts - Selective Sales - Motor Fuels","001","State and Local","322,166","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0016","Revenue - General Revenue - From Own Sources - Taxes - Sales & Gross Receipts - Selective Sales - Alcoholic Beverages","001","State and Local","24,851","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0017","Revenue - General Revenue - From Own Sources - Taxes - Sales & Gross Receipts - Selective Sales - Tobacco Products","001","State and Local","81,200","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0019","Revenue - General Revenue - From Own Sources - Taxes - Sales & Gross Receipts - Selective Sales - Public Utilities Sales","001","State and Local","52,751","0.40"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0020","Revenue - General Revenue - From Own Sources - Taxes - Sales & Gross Receipts - Selective Sales - Other","001","State and Local","289,045","1.10"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0021","Revenue - General Revenue - From Own Sources - Taxes - Total Income Taxes","001","State and Local","3,090,635","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0022","Revenue - General Revenue - From Own Sources - Taxes - Income Taxes - Individual","001","State and Local","2,646,300","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0023","Revenue - General Revenue - From Own Sources - Taxes - Income Taxes - Corporate","001","State and Local","444,335","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0024","Revenue - General Revenue - From Own Sources - Taxes - Alcoholic Beverages License","001","State and Local","197","3.10"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0025","Revenue - General Revenue - From Own Sources - Taxes - Amusement License","001","State and Local","3,438","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0026","Revenue - General Revenue - From Own Sources - Taxes - Corporation General License","001","State and Local","2,678","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0027","Revenue - General Revenue - From Own Sources - Taxes - Hunting and Fishing License","001","State and Local","32,676","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0028","Revenue - General Revenue - From Own Sources - Taxes - Motor Vehicle License","001","State and Local","247,496","0.80"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0029","Revenue - General Revenue - From Own Sources - Taxes - Motor Vehicle Operator License","001","State and Local","16,392","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0030","Revenue - General Revenue - From Own Sources - Taxes - Public Utility License","001","State and Local","3,474","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0031","Revenue - General Revenue - From Own Sources - Taxes - Occupation & Business License, NEC","001","State and Local","94,370","0.10"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0032","Revenue - General Revenue - From Own Sources - Taxes - Other License","001","State and Local","45,705","0.10"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0033","Revenue - General Revenue - From Own Sources - Total Other Taxes","001","State and Local","5,426,513","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0036","Revenue - General Revenue - From Own Sources - Taxes - Other Taxes - Severance Taxes","001","State and Local","5,295,401","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0037","Revenue - General Revenue - From Own Sources - Taxes - Other Taxes - Taxes NEC","001","State and Local","131,112","0.10"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0039","Revenue - General Revenue - From Own Sources - Total Current Charges & Miscellaneous Revenue","001","State and Local","14,371,689","0.20"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0040","Revenue - General Revenue - From Own Sources - Total Current Charges","001","State and Local","5,171,397","0.60"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0041","Revenue - General Revenue - From Own Sources - Current Charges - Total Education","001","State and Local","653,170","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0042","Revenue - General Revenue - From Own Sources - Current Charges - Education- Institutes of Higher Education","001","State and Local","580,813","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0043","Revenue - General Revenue - From Own Sources - Current Charges - Education - School Lunch Sales (Gross)","001","State and Local","12,702","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0045","Revenue - General Revenue - From Own Sources - Current Charges - Education - Other Elementary and Secondary Education","001","State and Local","59,655","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0046","Revenue - General Revenue - From Own Sources - Current Charges - Hospital","001","State and Local","3,336,322","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0047","Revenue - General Revenue - From Own Sources - Current Charges - Highways","001","State and Local","15,632","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0048","Revenue - General Revenue - From Own Sources - Current Charges - Air Transportation (Airport)","001","State and Local","90,717","1.10"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0049","Revenue - General Revenue - From Own Sources - Current Charges - Parking Facilities","001","State and Local","9,801","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0051","Revenue - General Revenue - From Own Sources - Current Charges - Natural Resources","001","State and Local","51,040","26.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0052","Revenue - General Revenue - From Own Sources - Current Charges - Parks and Recreation","001","State and Local","36,317","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0053","Revenue - General Revenue - From Own Sources - Current Charges - Housing and Community Development","001","State and Local","27,430","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0054","Revenue - General Revenue - From Own Sources - Current Charges - Sewerage","001","State and Local","261,529","7.30"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0055","Revenue - General Revenue - From Own Sources - Current Charges - Solid Waste Management","001","State and Local","260,967","8.60"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0056","Revenue - General Revenue - From Own Sources - Current Charges - Miscellaneous Commercial Activities","001","State and Local","8,022","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0057","Revenue - General Revenue - From Own Sources - Current Charges - Other Charges","001","State and Local","420,451","0.30"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0058","Revenue - General Revenue - From Own Sources - Total Miscellaneous General Revenue","001","State and Local","9,200,292","0.10"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0059","Revenue - General Revenue - From Own Sources - Miscellaneous General Revenue - Interest Earnings","001","State and Local","1,838,831","0.20"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0060","Revenue - General Revenue - From Own Sources - Miscellaneous General Revenue - Special Assessments","001","State and Local","11,540","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0061","Revenue - General Revenue - From Own Sources - Miscellaneous General Revenue - Sale of Property","001","State and Local","12,268","11.20"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0062","Revenue - General Revenue - From Own Sources - Miscellaneous General Revenue - Fines and Forfeits","001","State and Local","60,952","1.50"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0063","Revenue - General Revenue - From Own Sources - Miscellaneous General Revenue - Rents","001","State and Local","120,710","0.40"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0064","Revenue - General Revenue - From Own Sources - Miscellaneous General Revenue - Royalties","001","State and Local","5,806,013","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0065","Revenue - General Revenue - From Own Sources - Miscellaneous General Revenue - Donations From Private Sources","001","State and Local","140,662","0.10"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0066","Revenue - General Revenue - From Own Sources - Miscellaneous General Revenue - Net Lottery Revenue","001","State and Local","76,584","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0067","Revenue - General Revenue - From Own Sources - Miscellaneous General Revenue -Other General Revenue","001","State and Local","1,132,732","0.40"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0068","Revenue - Utility Revenue - Total","001","State and Local","854,691","7.50"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0069","Revenue - Utility Revenue - Water Supply","001","State and Local","521,982","12.30"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0070","Revenue - Utility Revenue - Electric Power","001","State and Local","246,561","1.10"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0071","Revenue - Utility  Revenue - Gas Supply","001","State and Local","69,604","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0072","Revenue - Utility Revenue - Transit","001","State and Local","16,544","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0074","Insurance Trust Revenue - Total","001","State and Local","3,980,772","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0075","Insurance Trust Revenue - Unemployment Compensation - Total","001","State and Local","161,158","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0076","Insurance Trust Revenue - Unemployment Compensation - Contributions","001","State and Local","153,973","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0077","Insurance Trust Revenue - Unemployment Compensation - Interest Credited by US Government","001","State and Local","7,185","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0078","Insurance Trust Revenue - Unemployment Compensation - Federal Advances and Contributions","001","State and Local","0","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0079","Insurance Trust Revenue - Employee Retirement - Total","001","State and Local","3,806,448","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0080","Insurance Trust Revenue - Employee Retirement - Earnings on Investments","001","State and Local","708,487","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0081","Insurance Trust Revenue - Employee Retirement - Gains/Losses on Investments","001","State and Local","1,457,181","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0082","Insurance Trust Revenue - Employee Retirement - Employee Contributions","001","State and Local","761,341","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0084","Insurance Trust Revenue - Employee Retirement - Contributions From Local Governments","001","State and Local","879,439","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0085","Insurance Trust Revenue - Workers Compensation - Total Revenue","001","State and Local","13,166","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0086","Insurance Trust Revenue - Workers Compensation - Contributions","001","State and Local","13,166","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0089","Expenditure - Total","001","State and Local","35,521,036","0.10"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0090","Expenditure - Total General Expenditure","001","State and Local","34,638,251","0.10"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0092","Expenditure - Total Direct Expenditure","001","State and Local","35,521,036","0.10"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0093","Expenditure - Direct Expenditure - Current Operations","001","State and Local","30,753,785","0.20"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0094","Expenditure - Direct Expenditure - Capital Outlay","001","State and Local","3,688,712","0.20"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0097","Expenditure - Direct Expenditure - Assistance and Subsidies","001","State and Local","639,856","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0098","Expenditure - Direct Expenditure - Interest on Debt","001","State and Local","438,683","0.50"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0100","Exhibit: Salaries and Wages","001","State and Local","7,694,383","0.10"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0101","Expenditure - Total Direct Expenditure by Function","001","State and Local","35,521,036","0.10"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0102","Expenditure - Direct Expenditure - Total General Expenditure","001","State and Local","34,480,073","0.10"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0103","Expenditure - Direct Expenditure - General Expenditure - Current Operations","001","State and Local","29,900,326","0.10"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0104","Expenditure - Direct Expenditure - General Expenditure - Capital Outlay","001","State and Local","3,530,535","0.10"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0105","Expenditure - Direct Expenditure - General Expenditure - Other","001","State and Local","1,049,212","0.10"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0106","Expenditure - Direct Expenditure - General Expenditure - Education - Total Expenditure","001","State and Local","9,348,428","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0107","Expenditure - Direct Expenditure - General Expenditure - Education - Education - Current Operations","001","State and Local","7,621,860","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0108","Expenditure - Direct Expenditure - General Expenditure - Education - Education - Capital Outlay","001","State and Local","1,086,712","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0109","Expenditure - Direct Expenditure - General Expenditure - Education - Higher Education - Total Expenditure","001","State and Local","3,084,285","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0110","Expenditure - Direct Expenditure - General Expenditure - Education - Higher Education - Current Operations","001","State and Local","2,719,110","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0111","Expenditure - Direct Expenditure - General Expenditure - Education - Higher Education - Capital Outlay","001","State and Local","365,175","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0112","Expenditure - Direct Expenditure - General Expenditure - Education - Elementary & Secondary Education - Total Expenditures","001","State and Local","5,348,370","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0113","Expenditure - Direct Expenditure - General Expenditure - Education - Elementary & Secondary Education - Current Operations","001","State and Local","4,632,991","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0114","Expenditure - Direct Expenditure - General Expenditure - Education - Elementary & Secondary Education - Capital Outlay","001","State and Local","715,379","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0115","Expenditure - Direct Expenditure - General Expenditure - Education - Other Education - Total Expenditures","001","State and Local","915,773","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0116","Expenditure - Direct Expenditure - General Expenditure - Education - Other Education - Current Operations","001","State and Local","269,759","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0117","Expenditure - Direct Expenditure - General Expenditure - Education - Other Education - Capital Outlay","001","State and Local","6,158","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0118","Expenditure - Direct Expenditure - General Expenditure - Education - Scholarships & Other Subsidies","001","State and Local","639,856","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0119","Expenditure - Direct Expenditure - General Expenditure - Libraries - Total Expenditures","001","State and Local","44,956","2.80"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0120","Expenditure - Direct Expenditure - General Expenditure - Libraries - Current Operations","001","State and Local","44,396","2.80"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0121","Expenditure - Direct Expenditure - General Expenditure - Libraries - Capital Outlay","001","State and Local","560","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0122","Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Total Expenditure","001","State and Local","10,444,128","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0123","Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Current Operations","001","State and Local","10,443,062","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0124","Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Capital Outlay","001","State and Local","1,066","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0128","Expenditure - Direct Expenditure - General Expenditure - Hospitals - Total Expenditure","001","State and Local","3,981,236","0.40"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0129","Expenditure - Direct Expenditure - General Expenditure - Hospitals - Current Operations","001","State and Local","3,393,960","0.40"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0130","Expenditure - Direct Expenditure - General Expenditure - Hospitals - Capital Outlay","001","State and Local","587,276","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0131","Expenditure - Direct Expenditure - General Expenditure - Health - Total Expenditure","001","State and Local","804,757","0.10"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0132","Expenditure - Direct Expenditure - General Expenditure - Health - Current Operations","001","State and Local","729,798","0.10"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0133","Expenditure - Direct Expenditure - General Expenditure - Health - Capital Outlay","001","State and Local","74,959","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0134","Expenditure - Direct Expenditure - General Expenditure - Social Insurance Administration - Total Expenditure","001","State and Local","14,739","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0135","Expenditure - Direct Expenditure - General Expenditure - Social Insurance Administration - Current Operations","001","State and Local","14,739","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0137","Expenditure - Direct Expenditure - General Expenditure - Veterans Services - Total Expenditures","001","State and Local","6,773","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0138","Expenditure - Direct Expenditure - General Expenditure - Veterans Services - Current Operations","001","State and Local","6,726","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0139","Expenditure - Direct Expenditure - General Expenditure - Veterans Services - Capital Outlay","001","State and Local","47","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0140","Expenditure - Direct Expenditure - General Expenditure - Highways - Total Expenditures","001","State and Local","1,507,517","0.40"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0141","Expenditure - Direct Expenditure - General Expenditure - Highways - Current Operations","001","State and Local","580,006","0.70"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0142","Expenditure - Direct Expenditure - General Expenditure - Highways - Capital Outlay","001","State and Local","927,511","0.50"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0143","Expenditure - Direct Expenditure - General Expenditure - Air Transportation (Airports) - Total Expenditures","001","State and Local","116,096","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0144","Expenditure - Direct Expenditure - General Expenditure - Air Transportation (Airports) - Current Operations","001","State and Local","79,323","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0145","Expenditure - Direct Expenditure - General Expenditure - Air Transportation (Airports) - Capital Outlay","001","State and Local","36,773","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0146","Expenditure - Direct Expenditure - General Expenditure - Parking Facilities - Total Expenditure","001","State and Local","8,660","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0147","Expenditure - Direct Expenditure - General Expenditure - Parking Facilities - Current Operations","001","State and Local","8,660","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0152","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Total Expenditure","001","State and Local","991,053","1.20"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0153","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","001","State and Local","928,016","1.30"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0154","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay","001","State and Local","63,037","0.10"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0155","Expenditure - Direct Expenditure - General Expenditure - Fire Protection - Total Expenditure","001","State and Local","415,893","1.30"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0156","Expenditure - Direct Expenditure - General Expenditure - Fire Protection - Current Operations","001","State and Local","376,856","1.40"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0157","Expenditure - Direct Expenditure - General Expenditure - Fire Protection - Capital Outlay","001","State and Local","39,037","2.50"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0158","Expenditure - Direct Expenditure - General Expenditure - Correction - Total Expenditure","001","State and Local","937,856","0.20"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0159","Expenditure - Direct Expenditure - General Expenditure - Correction - Current Operations","001","State and Local","913,291","0.20"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0160","Expenditure - Direct Expenditure - General Expenditure - Correction - Capital Outlay","001","State and Local","24,565","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0161","Expenditure - Direct Expenditure - General Expenditure - Protective Inspection & Regulation - Total Expenditure","001","State and Local","128,415","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0162","Expenditure - Direct Expenditure - General Expenditure - Protective Inspection & Regulation - Current Operations","001","State and Local","124,936","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0163","Expenditure - Direct Expenditure - General Expenditure - Protective Inspection & Regulation - Capital Outlay","001","State and Local","3,479","0.00"
